# name:text *, full_name:text, skill:integer
Coventry,Coventry City,5
Maidstone,Maidstone United,1
Bournemouth,Bournemouth,7
Leicester,Leicester City,5
Blackburn,Blackburn Rovers,5
Newcastle,Newcastle United,8
Luton,Luton Town,6
Manchester City,Manchester City,10
Chelsea,Chelsea,7
Leeds,Leeds United,5
Nottingham Forest,Nottingham Forest,6
Manchester United,Manchester United,8
Wolves,Wolverhampton Wanderers,7
Brighton,Brighton & Hove Albion,8
Liverpool,Liverpool,10
Southampton,Southampton,5
Aston Villa,Aston Villa,9
Tottenham,Tottenham Hotspur,8
Everton,Everton,6
Stoke,Stoke City,5
Fulham,Fulham,7
Bristol City,Bristol City,5
Grimsby,Grimsby Town,3
Burnley,Burnley,5
Fleetwood,Fleetwood Town,4
Manchester United 2023,Manchester United,9
West Ham,West Ham United,7
Sheffield United,Sheffield United,5
